"customer_id","product_id","order_qty","unit_price","unit_price_discount","order_date","sales_order_number"
14078,749,1,3578.2700,0.0000,"2005-07-01 01:00:00","SO43697"
15519,773,1,3399.9900,0.0000,"2005-07-01 01:00:00","SO43698"
10553,773,1,3399.9900,0.0000,"2005-07-01 01:00:00","SO43699"
11211,767,1,699.0982,0.0000,"2005-07-01 01:00:00","SO43700"
11358,773,1,3399.9900,0.0000,"2005-07-01 01:00:00","SO43701"
13514,750,1,3578.2700,0.0000,"2005-07-02 01:00:00","SO43702"
14897,749,1,3578.2700,0.0000,"2005-07-02 01:00:00","SO43703"
6990,778,1,3374.9900,0.0000,"2005-07-02 01:00:00","SO43704"
18258,771,1,3399.9900,0.0000,"2005-07-02 01:00:00","SO43705"
4229,751,1,3578.2700,0.0000,"2005-07-03 01:00:00","SO43706"
11853,751,1,3578.2700,0.0000,"2005-07-03 01:00:00","SO43707"
9374,764,1,699.0982,0.0000,"2005-07-03 01:00:00","SO43708"
4916,752,1,3578.2700,0.0000,"2005-07-03 01:00:00","SO43709"
16362,753,1,3578.2700,0.0000,"2005-07-03 01:00:00","SO43710"
9351,753,1,3578.2700,0.0000,"2005-07-04 01:00:00","SO43711"
12797,750,1,3578.2700,0.0000,"2005-07-04 01:00:00","SO43712"
2835,749,1,3578.2700,0.0000,"2005-07-05 01:00:00","SO43713"
6134,750,1,3578.2700,0.0000,"2005-07-05 01:00:00","SO43714"
19122,753,1,3578.2700,0.0000,"2005-07-05 01:00:00","SO43715"
14487,750,1,3578.2700,0.0000,"2005-07-05 01:00:00","SO43716"
2789,767,1,699.0982,0.0000,"2005-07-05 01:00:00","SO43717"
16262,750,1,3578.2700,0.0000,"2005-07-06 01:00:00","SO43718"
4819,751,1,3578.2700,0.0000,"2005-07-06 01:00:00","SO43719"
9531,750,1,3578.2700,0.0000,"2005-07-06 01:00:00","SO43720"
13076,749,1,3578.2700,0.0000,"2005-07-06 01:00:00","SO43721"
14920,751,1,3578.2700,0.0000,"2005-07-07 01:00:00","SO43722"
3679,765,1,699.0982,0.0000,"2005-07-07 01:00:00","SO43723"
16488,750,1,3578.2700,0.0000,"2005-07-07 01:00:00","SO43724"
14374,750,1,3578.2700,0.0000,"2005-07-08 01:00:00","SO43725"
